,date,htn2max,htn2min,htnmax,htn2avg,htnmin,tair,tensionmin,windspeed,max10mnwindspeed,winddir,htn2std,htnavg,min10mnwindspeed,htnstd,site
0,2018-09-26 09:50:00,0.18,-0.529,-0.051,0.044000000000000004,-0.603,7.473,12.99,1.432,2.274,176.8,0.27899999999999997,-0.327,0.843,0.214,LB
1,2018-09-26 10:00:00,0.18,-0.124,-0.18899999999999997,-0.066,-0.879,7.47,13.04,0.929,1.666,177.5,0.12,-0.442,0.0,0.248,LB
2,2018-09-26 10:10:00,-0.023,-0.754,-0.327,-0.066,-1.232,7.529,13.12,1.024,1.999,190.0,0.106,-0.46799999999999997,0.0,0.19399999999999998,LB
3,2018-09-26 10:20:00,-0.225,-0.9570000000000001,0.15,-0.8270000000000001,-1.232,8.21,13.09,0.62,2.215,218.7,0.21899999999999997,-0.9990000000000001,0.0,0.419,LB
4,2018-09-26 10:30:00,-0.449,-0.9570000000000001,0.15,-0.528,-1.37,8.3,13.1,0.6779999999999999,2.293,215.8,0.177,-0.54,0.0,0.49,LB
5,2018-09-26 10:40:00,-0.449,-0.449,0.15,-0.449,-1.37,8.28,13.08,0.7440000000000001,1.548,351.2,0.0,-0.528,0.0,0.318,LB
6,2018-09-26 10:50:00,0.16,-0.569,0.15,-0.066,-0.541,8.45,13.05,1.0759999999999998,2.94,208.7,0.27699999999999997,-0.006999999999999999,0.0,0.223,LB
7,2018-09-26 11:00:00,0.586,-0.145,0.087,0.087,-0.679,8.1,13.08,1.66,2.783,190.2,0.275,-0.327,0.13699999999999998,0.306,LB
8,2018-09-26 11:10:00,-0.145,-0.449,0.15,-0.391,-0.402,8.3,13.08,0.8170000000000001,1.5090000000000001,334.5,0.12,-0.27,0.0,0.17300000000000001,LB
9,2018-09-26 11:20:00,-0.348,-1.078,0.15,-0.875,-0.526,8.91,13.08,0.49200000000000005,1.999,168.0,0.27,-0.20199999999999999,0.0,0.261,LB
10,2018-09-26 11:50:00,494.0,-0.46799999999999997,0.581,473.2,-0.526,8.56,13.11,1.475,3.352,181.9,99.1,-0.016,0.0,0.442,LB
11,2018-09-26 12:00:00,0.261,-0.46799999999999997,1.5319999999999998,0.12,-0.402,8.43,13.1,2.45,3.8810000000000002,194.5,0.256,0.281,0.784,0.826,LB
12,2018-09-26 12:10:00,0.16,0.057999999999999996,0.15,0.059000000000000004,-0.402,8.3,13.14,2.2359999999999998,3.528,190.2,0.009000000000000001,-0.149,0.725,0.084,LB
13,2018-09-26 12:20:00,0.16,-0.145,0.841,0.157,-0.126,8.3,13.17,1.8940000000000001,3.332,195.3,0.027999999999999997,0.245,0.5489999999999999,0.40700000000000003,LB
14,2018-09-26 12:30:00,0.363,-0.145,-0.126,-0.141,-0.679,8.3,13.14,1.689,2.842,192.6,0.046,-0.349,0.588,0.24,LB
15,2018-09-26 12:40:00,0.46399999999999997,-0.366,0.35600000000000004,0.254,-0.402,8.43,13.17,1.556,2.548,182.3,0.23399999999999999,0.08,0.49,0.242,LB
16,2018-09-26 12:50:00,0.46399999999999997,-0.446,1.74,-0.066,-0.7509999999999999,8.93,13.2,0.6829999999999999,2.0380000000000003,182.4,0.32799999999999996,0.902,0.0,0.809,LB
17,2018-09-26 13:00:00,0.426,-0.163,-0.613,0.259,-1.079,9.12,13.15,1.004,2.803,352.3,0.105,-0.778,0.0,0.166,LB
18,2018-09-26 13:10:00,0.5660000000000001,-0.163,0.565,0.526,-1.079,8.34,13.2,1.3519999999999999,2.411,345.6,0.149,-0.172,0.41200000000000003,0.562,LB
19,2018-09-26 13:20:00,0.5660000000000001,-0.163,0.754,0.17800000000000002,-0.526,8.79,13.19,1.442,2.234,340.8,0.292,0.10800000000000001,0.039,0.5479999999999999,LB
20,2018-09-26 13:30:00,0.769,-0.061,1.411,0.392,-1.028,8.59,13.23,1.754,2.6460000000000004,346.1,0.332,0.281,0.862,0.9670000000000001,LB
21,2018-09-26 13:40:00,0.769,0.5870000000000001,0.98,0.767,-0.35200000000000004,8.31,13.1,1.1740000000000002,2.136,345.1,0.017,0.561,0.0,0.363,LB
22,2018-09-26 13:50:00,0.769,0.04,1.186,0.496,-1.305,8.6,12.79,1.6980000000000002,2.783,345.5,0.285,0.19899999999999998,0.9209999999999999,0.7929999999999999,LB
23,2018-09-26 14:00:00,1.073,0.667,0.42700000000000005,0.6709999999999999,-1.305,8.3,12.59,1.726,2.45,357.9,0.037000000000000005,-0.128,1.117,0.612,LB
24,2018-09-26 14:10:00,1.073,0.345,1.031,0.981,0.15,8.42,12.41,1.102,2.548,358.0,0.177,0.5589999999999999,0.0,0.318,LB
25,2018-09-26 14:20:00,0.972,0.244,0.15,0.32,-0.8029999999999999,9.08,12.19,1.056,2.391,357.0,0.21100000000000002,-0.162,0.0,0.34600000000000003,LB
26,2018-09-26 14:30:00,0.244,-0.483,0.633,0.11599999999999999,-0.8029999999999999,9.28,12.04,0.41100000000000003,1.588,317.6,0.257,-0.039,0.0,0.539,LB
27,2018-09-26 14:40:00,0.8540000000000001,0.026000000000000002,0.374,0.508,-0.475,9.49,11.94,0.953,2.489,217.7,0.34,0.156,0.0,0.28,LB
28,2018-09-26 14:50:00,0.8540000000000001,0.026000000000000002,0.909,0.532,-0.613,9.39,11.86,1.736,2.6460000000000004,202.8,0.284,-0.034,0.882,0.63,LB
29,2018-09-26 15:00:00,0.8540000000000001,0.65,0.35600000000000004,0.825,-0.613,9.17,11.86,0.9840000000000001,2.568,212.4,0.067,0.004,0.0,0.385,LB
30,2018-09-26 15:10:00,0.672,-0.076,0.35600000000000004,0.324,-0.5429999999999999,9.5,11.88,0.845,2.195,235.5,0.34299999999999997,-0.217,0.0,0.31,LB
